Year,Sudan,Australia,China,India,US,Canada,Russia,Brazil,Indonesia,Congo
1990,12.9323695286195,16.7320984600966,16.7380076159029,21.5051846669739,33.0223082096657,38.299072635319,49.3564653949524,65.4098878458604,65.4377142478624,66.5475841874085
1991,12.8589646464646,16.7360035406063,16.9495475727638,21.5539874680057,33.0341654510992,38.2938931171792,49.3564653949524,65.1056215856638,64.3813929354096,66.497803806735
1992,12.7855555555556,16.7399086211161,17.1610875296248,21.6027902690376,33.0460226925328,38.2887135990393,49.3603470419373,64.8013553254671,63.3250716229569,66.4480234260615
1993,12.7121506734007,16.7438137016258,17.3726274864858,21.6515930700695,33.0578799339663,38.2835340808995,49.3736477934455,64.4970890652705,62.2687503105042,66.398243045388
1994,12.6387415824916,16.7477187821356,17.5841674433467,21.7003958711014,33.0697371753998,38.2783545627596,49.3902106849688,64.1928228050739,61.2124289980514,66.3484626647145
1995,12.5653367003367,16.7516238626453,17.7957263555256,21.7491986721333,33.0815944168334,38.2731750446197,49.4010518744833,63.8885565448772,60.1561076855987,66.298682284041
1996,12.4919276094276,16.755528943155,18.0072857183942,21.7980014731652,33.0934516582669,38.2679955264799,49.404264023114,63.5842902846806,59.0997863731459,66.2489019033675
1997,12.4185227272727,16.7594340236648,18.2188261259045,21.8468042741971,33.1053088997004,38.26281600834,49.404127934842,63.2800240244839,58.0434650606932,66.199121522694
1998,12.3451136363636,16.7633391041745,18.4303665334147,21.895607075229,33.1171661411339,38.2576364902002,49.3980807384029,62.9757577642873,56.9871437482405,66.1493411420205
1999,12.2717087542088,16.7672441846843,18.641906940925,21.9444098762608,33.1290233825675,38.2524569720603,49.3782924744226,62.6714915040906,55.9308224357877,66.099560761347
2000,12.1982996632997,16.771149265194,18.8534674304607,21.9932126772927,33.1301735880689,38.2472774539204,49.4018499097143,62.367225243894,54.874501123335,66.0497803806735
2001,12.1248947811448,16.7399086211161,19.195256537713,22.1492067442713,33.1568273898921,38.2423068760028,49.3987218902545,62.0193009449471,54.7031580341913,66
2002,12.0514856902357,16.7086679770381,19.5370360783882,22.3052008112499,33.1834811917153,38.2373362980851,49.3913719237113,61.6713766460002,54.5318149450477,65.9502196193265
2003,11.9780808080808,16.6774273329602,19.8788146331623,22.4611948782284,33.2101349935385,38.2323657201675,49.3854091757636,61.3234523470533,54.360471855904,65.900439238653
2004,11.9046717171717,16.6461866888822,20.2205925781931,22.617188945207,33.2367887953617,38.2273951422498,49.3788134346444,60.9755280481064,54.1891287667603,65.8506588579795
2005,11.8312668350168,16.6149460448043,20.5623716329024,22.7731830121856,33.2634425971849,38.2224245643321,49.3724891477463,60.6276037491595,54.0177856776167,65.800878477306
2006,11.7578577441077,16.4996160004165,20.7235618916719,22.9131673387843,33.3499528483113,38.2163982884497,49.4609830171929,60.4295692582321,53.639660625866,65.7657393850659
2007,11.6844528619529,16.3842859560288,20.8847526090914,23.053151665383,33.4364630994377,38.2103720125672,49.5384735622864,60.2315347673047,53.2615355741153,65.7306002928258
2008,11.6110437710438,16.268955911641,21.0459420020692,23.1931359919817,33.5761121715194,38.2043457366847,49.618599891188,60.0335002763773,52.8834105223646,65.6954612005856
2009,11.5376388888889,16.1536258672533,21.2071309432649,23.3331203185804,33.6627595540601,38.1983194608023,49.6960945528663,59.8354657854499,52.5052854706139,65.6603221083455
2010,11.4642297979798,16.0382958228655,21.3683203328089,23.4731046451791,33.7494069366007,38.1922931849198,49.7735892145447,59.6374312945225,52.1271604188632,65.6251830161054
2011,8.37861952861953,16.0783879827656,21.532590181452,23.5331075376952,33.7794700582241,38.1871686510489,49.7710844624156,59.5197017518252,51.7493665715374,65.5800878477306
2012,8.30521043771044,16.1184801426656,21.6968600300952,23.5931104302113,33.8095331798474,38.1820441171781,49.7685797102865,59.4019722091279,51.3715727242116,65.5349926793558
2013,8.23180555555556,16.1585723025656,21.8611298787383,23.6531133227274,33.8395963014708,38.1769195833072,49.7660749581575,59.2842426664306,50.9937788768858,65.489897510981
2014,8.15839646464646,16.1986644624657,22.0253997273815,23.7131162152436,33.8696594230942,38.1717950494364,49.7635702060284,59.1665131237333,50.61598502956,65.4448023426062
2015,8.08499158249158,16.2387566223657,22.1896695760247,23.7731191077597,33.8997225447175,38.1666705155655,49.7610654538993,59.048783581036,50.2381911822342,65.3997071742313
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
